('4531', '436', '292', '719999981', '229574', '56000'),
('826', '184', '83', '70999999', '54478', '0'),
('492', '204', '99', '730000019', '153468', '0'),
('4493', '24', '16', '869999981', '3144', '0'),
('4143', '182', '283', '74000001', '99430', '43000'),
('1569', '69', '27', '49000001', '3754', '113'),
('4737', '17', '18', '34000001', '838', '728'),
('4236', '4', '23', '569999981', '625', '124'),
('4226', '629', '384', '730000019', '447979', '105000'),
('666', '223', '57', '69000001', '181380', '0'),
('4201', '313', '535', '74000001', '96233', '26000'),
('3296', '77', '111', '55999999', '25344', '0'),
('1269', '59', '73', '54000001', '10100', '153'),
('2674', '1033', '285', '55999999', '115649', '4000'),
('4674', '1', '', '819999981', '108', '232'),
('2025', '114', '72', '719999981', '5709', '754'),
('3052', '189', '141', '39000001', '26624', '0'),
('1650', '274', '94', '669999981', '70292', '8000'),
('4905', '29', '72', '730000019', '2581', '0'),
('1355', '188', '100', '50999999', '12093', '394'),
('4087', '1', '13', '669999981', '37', '38'),
('3369', '290', '221', '519999981', '75345', '0'),
('4079', '189', '162', '50999999', '25484', '13000'),
('293', '31', '19', '419999981', '1040', '425'),
('2945', '82', '62', '569999981', '11285', '509'),
('273', '494', '151', '830000019', '235133', '0'),
('2453', '1053', '276', '680000019', '155745', '10000'),
('2264', '186', '89', '70', '58906', '0'),
('2584', '97', '105', '65', '13239', '0'),
('3747', '142', '152', '630000019', '89568', '17000'),
('4936', '50', '10', '819999981', '10388', '0'),
('3324', '201', '167', '519999981', '84209', '0'),
('1899', '258', '96', '64000001', '89128', '0'),
('991', '53', '43', '65999999', '6705', '167'),
('4696', '174', '260', '70', '87682', '43000'),
('279', '319', '125', '79000001', '142448', '14000'),
('2162', '63', '60', '65999999', '3291', '400'),
('2500', '236', '91', '680000019', '76467', '0'),
('1426', '805', '214', '70999999', '193962', '5000'),
('4888', '117', '122', '630000019', '12276', '21000'),
('1584', '205', '78', '59000001', '41664', '0'),
('3501', '311', '179', '60', '181443', '12000'),
('2200', '433', '209', '769999981', '110394', '0'),
('1179', '132', '105', '69000001', '12980', '646'),
('504', '215', '77', '75999999', '54042', '0'),
('2622', '187', '78', '430000019', '39471', '0'),
('4346', '3', '', '69000001', '44', '224'),
('547', '35', '11', '55', '7470', '0'),
('3450', '20', '34', '59000001', '3443', '480'),
('4053', '141', '232', '619999981', '78974', '11000'),
('3897', '190', '447', '79000001', '70382', '33000'),
('1310', '3646', '313', '869999981', '1217752', '25000'),
('3874', '199', '257', '70999999', '111003', '22000'),
('3200', '435', '298', '669999981', '207839', '0'),
('512', '159', '88', '70', '61396', '11000'),
('648', '112', '43', '70999999', '38949', '0'),
('148', '137', '101', '619999981', '7584', '0'),
('673', '180', '75', '39000001', '35018', '716'),
('1823', '249', '74', '75', '23486', '0'),
('2056', '52', '54', '619999981', '4257', '188'),
('945', '277', '93', '580000019', '62271', '0'),
('2728', '81', '46', '74000001', '14100', '0'),
('2552', '86', '78', '680000019', '11132', '0'),
('408', '419', '184', '719999981', '49672', '3000'),
('1639', '481', '127', '65', '43839', '0'),
('2984', '359', '111', '189999998', '74945', '0'),
('2962', '32', '25', '60', '3425', '0'),
('2672', '352', '251', '65', '61912', '0'),
('3750', '233', '84', '160000002', '74351', '62000'),
('4633', '15', '6', '50999999', '1091', '0'),
('4204', '1187', '608', '719999981', '557489', '95000'),
('3278', '20', '59', '55', '2541', '342'),
('3169', '111', '137', '569999981', '23767', '845'),
('595', '115', '31', '680000019', '55895', '0'),
('4854', '13', '1', '819999981', '374', '0'),
('495', '281', '142', '65', '62038', '0'),
('4768', '345', '298', '680000019', '62836', '20000'),
('645', '495', '131', '830000019', '277505', '10000'),
('1963', '95', '46', '569999981', '8215', '371'),
('4868', '145', '210', '719999981', '64322', '24000'),
('1316', '253', '85', '45999999', '13065', '897'),
('2921', '308', '300', '75', '120189', '11000'),
('4859', '50', '23', '519999981', '4510', '0'),
('3134', '370', '299', '75999999', '189812', '15000'),
('3977', '154', '211', '69000001', '119213', '17000'),
('3410', '230', '178', '480000019', '42182', '0'),
('4575', '462', '355', '630000019', '172707', '37000'),
('4239', '511', '525', '64000001', '175413', '60000'),
('840', '77', '31', '60999999', '9845', '613'),
('4132', '9', '16', '530000019', '502', '207'),
('1707', '33', '40', '569999981', '9693', '530'),
('4410', '741', '585', '79000001', '431620', '77000'),
('542', '293', '98', '54000001', '43743', '0'),
('4433', '1', '3', '669999981', '83', '165'),
('1567', '131', '85', '630000019', '22649', '0'),
('3895', '82', '20', '30999999', '2753', '0'),
