('229', 'AlienZone', '1978', 'USA', '79', 'English', 'PG', '', '350000'),
('230', 'AnimalHouse', '1978', 'USA', '109', 'English', 'R', '141600000', '3000000'),
('231', 'Caravans', '1978', 'Iran', '127', 'English', 'PG', '1000000', '14000000'),
('232', 'DaysofHeaven', '1978', 'USA', '94', 'English', 'PG', '', '3000000'),
('233', 'FIST', '1978', 'USA', '145', 'English', 'PG', '', '11000000'),
('234', 'Force10fromNavarone', '1978', 'UK', '126', 'English', 'PG', '', '5000000'),
('235', 'Grease', '1978', 'USA', '110', 'English', 'PG13', '181360000', '6000000'),
('236', 'Halloween', '1978', 'USA', '101', 'English', 'R', '47000000', '300000'),
('237', 'Halloween', '1978', 'USA', '101', 'English', 'R', '47000000', '300000'),
('238', 'Halloween', '1978', 'USA', '101', 'English', 'R', '47000000', '300000'),
('239', 'Jaws2', '1978', 'USA', '131', 'English', 'PG', '102922376', '20000000'),
('240', 'Superman', '1978', 'USA', '188', 'English', 'PG', '134218018', '55000000'),
('241', 'TheBoysfromBrazil', '1978', 'UK', '125', 'English', 'R', '', '12000000'),
('242', 'TheDeerHunter', '1978', 'UK', '183', 'English', 'R', '', '15000000'),
('243', 'TheLastWaltz', '1978', 'USA', '117', 'English', 'PG', '321952', ''),
('244', 'TheWiz', '1978', 'USA', '118', 'English', 'G', '13000000', '24000000'),
('245', '1941', '1979', 'USA', '142', 'English', 'PG', '', '35000000'),
('246', 'Alien', '1979', 'UK', '116', 'English', 'R', '78900000', '11000000'),
('247', 'AllThatJazz', '1979', 'USA', '123', 'English', 'R', '', ''),
('248', 'ApocalypseNow', '1979', 'USA', '289', 'English', 'R', '78800000', '31500000'),
('249', 'EscapefromAlcatraz', '1979', 'USA', '112', 'English', 'PG', '36500000', '8000000'),
('250', 'MadMax', '1979', 'Australia', '93', 'English', 'R', '', '200000'),
('251', 'Meteor', '1979', 'USA', '108', 'English', 'PG', '', '16000000'),
('252', 'Moonraker', '1979', 'UK', '126', 'English', 'PG', '62700000', '34000000'),
('253', 'Penitentiary', '1979', 'USA', '99', 'English', 'R', '', '100000'),
('254', 'Prophecy', '1979', 'USA', '102', 'English', 'PG', '', '12000000'),
('255', 'StarTrekTheMotionPicture', '1979', 'USA', '143', 'English', 'PG', '82300000', '35000000'),
('256', 'TheBlackHole', '1979', 'USA', '98', 'English', 'PG', '', '20000000'),
('257', 'TheBlackStallion', '1979', 'USA', '118', 'English', 'G', '', '2700000'),
('258', 'TheGreatTrainRobbery', '1979', 'UK', '110', 'English', 'PG', '', '6000000'),
('259', 'TheMuppetMovie', '1979', 'UK', '95', 'English', 'G', '76657000', ''),
('260', 'TheRose', '1979', 'USA', '125', 'English', 'R', '29200000', '8500000'),
('261', 'Airplane', '1980', 'USA', '88', 'English', 'PG', '83400000', '3500000'),
('262', 'Caddyshack', '1980', 'USA', '98', 'English', 'R', '39800000', '6000000'),
('263', 'CantStoptheMusic', '1980', 'USA', '124', 'English', 'PG', '2000000', '20000000'),
('264', 'CoalMinersDaughter', '1980', 'USA', '124', 'English', 'PG', '79900000', ''),
('265', 'DressedtoKill', '1980', 'USA', '104', 'English', 'X', '31899000', '6500000'),
('266', 'FlashGordon', '1980', 'UK', '111', 'English', 'PG', '', '20000000'),
('267', 'Galaxina', '1980', 'USA', '95', 'English', 'R', '', ''),
('268', 'HeavensGate', '1980', 'USA', '325', 'English', 'R', '1500000', '44000000'),
('269', 'LionoftheDesert', '1980', 'Libya', '156', 'English', 'PG', '', '35000000'),
('270', 'OrdinaryPeople', '1980', 'USA', '124', 'English', 'R', '54800000', '6000000'),
('271', 'OutoftheBlue', '1980', 'Canada', '94', 'English', 'R', '', '2200000'),
('272', 'PrivateBenjamin', '1980', 'USA', '109', 'English', 'R', '69800000', '10000000'),
('273', 'RagingBull', '1980', 'USA', '121', 'English', 'R', '45250', '18000000'),
('274', 'RaisetheTitanic', '1980', 'UK', '119', 'English', 'PG', '7000000', '36000000'),
